STATE,COUNTY,fips
1,1,01001
1,9,01009
1,17,01017
1,21,01021
1,33,01033
1,45,01045
1,51,01051
1,65,01065
1,79,01079
1,83,01083
1,99,01099
1,107,01107
1,121,01121
2,50,02050
2,105,02105
2,122,02122
2,150,02150
2,164,02164
2,180,02180
2,188,02188
2,198,02198
5,141,05141
5,145,05145
6,5,06005
6,21,06021
6,33,06033
6,43,06043
6,55,06055
6,89,06089
6,99,06099
6,115,06115
8,3,08003
8,13,08013
8,14,08014
8,25,08025
8,31,08031
8,35,08035
8,47,08047
12,83,12083
12,87,12087
12,95,12095
12,111,12111
12,119,12119
12,125,12125
13,1,13001
13,13,13013
13,29,13029
13,43,13043
13,55,13055
13,59,13059
13,71,13071
13,79,13079
13,91,13091
13,107,13107
13,113,13113
13,123,13123
8,53,08053
8,57,08057
8,59,08059
8,73,08073
8,83,08083
8,95,08095
8,105,08105
8,111,08111
8,123,08123
9,15,09015
12,1,12001
12,13,12013
12,23,12023
12,39,12039
12,55,12055
12,59,12059
12,73,12073
2,261,02261
2,270,02270
4,3,04003
4,13,04013
5,1,05001
5,9,05009
5,19,05019
5,29,05029
5,43,05043
5,51,05051
5,61,05061
5,71,05071
5,85,05085
5,97,05097
5,101,05101
5,111,05111
5,123,05123
5,129,05129
13,309,13309
13,313,13313
13,319,13319
15,9,15009
16,15,16015
16,21,16021
16,45,16045
16,51,16051
16,57,16057
16,67,16067
16,81,16081
17,5,17005
17,9,17009
17,19,17019
17,29,17029
17,35,17035
17,49,17049
17,55,17055
17,65,17065
18,51,18051
18,59,18059
18,69,18069
18,79,18079
18,85,18085
18,95,18095
18,105,18105
18,115,18115
18,125,18125
18,131,18131
18,139,18139
18,153,18153
18,173,18173
18,179,18179
18,183,18183
19,9,19009
19,17,19017
19,21,19021
19,31,19031
19,39,19039
17,73,17073
17,77,17077
17,79,17079
17,89,17089
17,103,17103
17,107,17107
17,121,17121
17,129,17129
17,139,17139
17,145,17145
17,155,17155
17,169,17169
17,175,17175
17,179,17179
17,189,17189
17,203,17203
18,9,18009
18,11,18011
18,21,18021
18,33,18033
13,125,13125
13,129,13129
13,131,13131
13,139,13139
13,157,13157
13,169,13169
13,175,13175
13,187,13187
13,197,13197
13,201,13201
13,217,13217
13,225,13225
13,233,13233
13,243,13243
13,253,13253
13,265,13265
13,277,13277
13,285,13285
13,293,13293
13,303,13303
20,27,20027
20,29,20029
20,39,20039
20,49,20049
20,65,20065
20,75,20075
20,85,20085
20,95,20095
20,105,20105
20,115,20115
20,127,20127
20,135,20135
20,145,20145
20,155,20155
20,163,20163
20,173,20173
20,185,20185
20,195,20195
20,203,20203
20,205,20205
21,183,21183
21,187,21187
21,189,21189
21,199,21199
21,209,21209
21,219,21219
21,229,21229
22,1,22001
22,13,22013
22,33,22033
22,53,22053
22,73,22073
22,77,22077
22,89,22089
22,105,22105
22,115,22115
21,3,21003
21,9,21009
21,17,21017
21,25,21025
21,31,21031
21,43,21043
21,53,21053
21,63,21063
21,77,21077
21,87,21087
21,99,21099
21,103,21103
21,115,21115
21,121,21121
21,137,21137
21,143,21143
21,151,21151
21,157,21157
21,169,21169
21,175,21175
19,45,19045
19,47,19047
19,55,19055
19,63,19063
19,67,19067
19,79,19079
19,87,19087
19,95,19095
